"keyword","total_tweets","num_rt","num_not_rt","num_unique_tweets","num_unique_users"
"murray-darling","84583","66996","17587","20338","13621"
"murray darling","82686","69262","13424","16516","14805"
"murraydarling","64234","52438","11796","15294","9150"
"basin plan","31972","25997","5975","6975","7652"
"mdba","30462","20268","10194","14997","11726"
"murray river","29965","15548","14417","15375","10397"
"mdbp","14147","8798","5349","8228","8329"
"basin authority","9684","8139","1545","1798","3966"
"river murray","8495","5168","3327","3472","3099"
"murrayriver","4635","1727","2908","3109","1948"
"basinplan","2892","2091","801","1473","1164"
"rivermurray","1238","647","591","613","478"
"riverdarling","216","185","31","98","118"
"basinauthority","64","36","28","32","51"
"river darling","56","17","39","45","51"
