"year","keyword","total_tweets","num_rt","num_not_rt","num_unique_tweets","num_unique_users"
"2018","murray-darling","1722","1339","383","449","985"
"2018","murray darling","1348","1057","291","361","848"
"2018","murraydarling","761","584","177","257","388"
"2018","mdba","625","352","273","405","417"
"2018","murray river","594","200","394","426","415"
"2018","basin plan","507","327","180","233","323"
"2018","basin authority","446","394","52","64","372"
"2018","mdbp","302","161","141","235","225"
"2018","murrayriver","170","63","107","116","122"
"2018","basinplan","139","66","73","81","66"
"2018","riverdarling","64","44","20","44","25"
"2018","river murray","60","20","40","44","48"
"2018","rivermurray","52","24","28","28","39"
"2018","basinauthority","1","0","1","1","1"
"2018","river darling","1","1","0","1","1"
"2019","murray-darling","53488","43350","10138","12023","8848"
"2019","murray darling","50477","42697","7780","9811","9131"
"2019","murraydarling","47119","38756","8363","10782","6435"
"2019","basin plan","15995","13061","2934","3564","4353"
"2019","mdba","13443","10131","3312","4795","4070"
"2019","murray river","7100","4443","2657","3040","3417"
"2019","mdbp","5731","3826","1905","2656","2856"
"2019","basin authority","5480","4589","891","1069","2456"
"2019","river murray","1521","1047","474","517","879"
"2019","basinplan","1426","993","433","485","605"
"2019","murrayriver","1182","554","628","698","725"
"2019","rivermurray","197","79","118","123","121"
"2019","riverdarling","112","110","2","43","69"
"2019","basinauthority","52","33","19","20","43"
"2019","river darling","31","14","17","21","27"
"2020","murray-darling","10222","7722","2500","3002","3651"
"2020","murray darling","7771","6251","1520","2142","3090"
"2020","murraydarling","4777","3713","1064","1344","1844"
"2020","murray river","3900","1785","2115","2307","2232"
"2020","mdba","3482","2206","1276","2092","1971"
"2020","basin plan","2466","1719","747","909","1221"
"2020","mdbp","1935","1254","681","1114","1526"
"2020","river murray","740","406","334","360","462"
"2020","basin authority","698","546","152","188","518"
"2020","murrayriver","675","125","550","574","284"
"2020","basinplan","243","133","110","118","105"
"2020","rivermurray","133","70","63","68","74"
"2020","basinauthority","5","1","4","5","3"
"2020","riverdarling","3","3","0","2","3"
"2020","river darling","3","0","3","3","3"
"2021","murray darling","12008","10041","1967","2196","4810"
"2021","murray-darling","8929","6923","2006","2187","3730"
"2021","murraydarling","7312","6060","1252","1984","2443"
"2021","basin plan","6658","5795","863","945","2875"
"2021","murray river","5873","2839","3034","3231","3152"
"2021","mdba","5846","3470","2376","3469","3359"
"2021","mdbp","2605","1538","1067","1698","2098"
"2021","river murray","1135","771","364","373","796"
"2021","murrayriver","1081","351","730","801","468"
"2021","basinplan","916","799","117","720","477"
"2021","basin authority","509","411","98","109","415"
"2021","rivermurray","248","135","113","118","105"
"2021","riverdarling","36","28","8","8","27"
"2021","river darling","8","1","7","8","8"
"2021","basinauthority","1","0","1","1","1"
"2022","murray river","10491","5309","5182","5337","4038"
"2022","murray darling","9698","8267","1431","1602","4209"
"2022","murray-darling","7966","6025","1941","2085","3266"
"2022","basin plan","5618","4683","935","1018","2462"
"2022","mdba","5258","3052","2206","3088","3252"
"2022","river murray","3597","2220","1377","1416","1350"
"2022","murraydarling","2674","2068","606","686","1284"
"2022","mdbp","2421","1350","1071","1748","1889"
"2022","basin authority","2339","2031","308","330","1465"
"2022","murrayriver","1136","485","651","682","565"
"2022","rivermurray","469","273","196","199","221"
"2022","basinplan","118","68","50","55","73"
"2022","river darling","8","0","8","8","8"
"2022","basinauthority","5","2","3","5","5"
"2023","murray-darling","2256","1637","619","674","1194"
"2023","murray river","2007","972","1035","1087","1306"
"2023","mdba","1808","1057","751","1184","1259"
"2023","murraydarling","1591","1257","334","375","874"
"2023","river murray","1442","704","738","777","598"
"2023","murray darling","1384","949","435","477","889"
"2023","mdbp","1153","669","484","800","830"
"2023","basin plan","728","412","316","336","397"
"2023","murrayriver","391","149","242","252","180"
"2023","basin authority","212","168","44","53","174"
"2023","rivermurray","139","66","73","81","65"
"2023","basinplan","50","32","18","19","38"
"2023","river darling","5","1","4","4","4"
"2023","riverdarling","1","0","1","1","1"
