"year","month","total_tweets","num_rt","num_not_rt","num_unique_users","num_unique_tweets"
"2018","11","2169","1313","856","1251","1089"
"2018","12","3596","2573","1023","1736","1331"
"2019","1","62755","52354","10401","8991","12814"
"2019","2","26971","21682","5289","6236","6871"
"2019","3","9129","6937","2192","3286","2940"
"2019","4","20462","16760","3702","5054","4760"
"2019","5","8192","6176","2016","3406","2632"
"2019","6","3841","2855","986","1853","1313"
"2019","7","15327","12372","2955","3993","3795"
"2019","8","4017","2920","1097","1989","1471"
"2019","9","5937","4652","1285","2606","1719"
"2019","10","9231","7121","2110","3082","2775"
"2019","11","4223","2983","1240","2074","1643"
"2019","12","5785","4062","1723","2469","2218"
"2020","1","4232","3135","1097","2259","1421"
"2020","2","3496","2515","981","1763","1345"
"2020","3","2216","1585","631","1369","871"
"2020","4","2970","2081","889","1769","1121"
"2020","5","3313","2332","981","1798","1279"
"2020","6","1812","1138","674","1071","942"
"2020","7","2959","2103","856","1828","1096"
"2020","8","2672","1993","679","1549","910"
"2020","9","3721","2604","1117","1973","1449"
"2020","10","2021","1363","658","1343","858"
"2020","11","1659","1026","633","1082","804"
"2020","12","2243","1358","885","1395","1086"
"2021","1","2785","1809","976","1708","1209"
"2021","2","3875","2607","1268","2165","1547"
"2021","3","3513","2306","1207","2056","1439"
"2021","4","2591","1674","917","1582","1121"
"2021","5","3470","2381","1089","2100","1324"
"2021","6","9436","7814","1622","3921","1947"
"2021","7","2957","2036","921","1846","1338"
"2021","8","3516","2459","1057","2112","1567"
"2021","9","3194","2152","1042","1689","1337"
"2021","10","3925","2878","1047","2388","1310"
"2021","11","2290","1466","824","1725","1061"
"2021","12","2596","1721","875","1765","1115"
"2022","1","2484","1713","771","1834","1020"
"2022","2","2109","1257","852","1340","1044"
"2022","3","2118","1297","821","1583","995"
"2022","4","6758","5553","1205","3403","1445"
"2022","5","3823","2820","1003","2446","1222"
"2022","6","2751","1905","846","1795","1084"
"2022","7","3442","2570","872","2015","1060"
"2022","8","3409","2297","1112","2042","1315"
"2022","9","2716","1769","947","1561","1141"
"2022","10","4985","3092","1893","2307","2083"
"2022","11","4894","2469","2425","1933","2644"
"2022","12","4224","2301","1923","1812","2126"
"2023","1","2413","1382","1031","1409","1218"
"2023","2","2208","1253","955","1245","1085"
"2023","3","2634","1729","905","1606","1099"
"2023","4","2022","1314","708","1279","931"
"2023","5","1266","758","508","947","702"
"2023","6","1574","987","587","984","777"
