"id","submitter","submission_url","format","attachment_urls"
"DR110","Bernie O’Kane","https://www.pc.gov.au/__data/assets/pdf_file/0011/272999/subdr110-water-reform-2020.pdf","pdf",""
"DR111","John Gregan","https://www.pc.gov.au/__data/assets/pdf_file/0013/273001/subdr111-water-reform-2020.pdf","pdf",""
"DR112","Pierre Louys","https://www.pc.gov.au/__data/assets/pdf_file/0015/273003/subdr112-water-reform-2020.pdf","pdf",""
"DR113","Richard Billington","https://www.pc.gov.au/__data/assets/pdf_file/0008/273167/subdr113-water-reform-2020.pdf","pdf",""
"DR114","Brian Bycroft","https://www.pc.gov.au/__data/assets/pdf_file/0010/273169/subdr114-water-reform-2020.pdf","pdf",""
"DR115","Prof Barry Hart","https://www.pc.gov.au/__data/assets/pdf_file/0003/273171/subdr115-water-reform-2020.pdf","pdf",""
"DR116","Peter Nowlan","https://www.pc.gov.au/__data/assets/pdf_file/0017/273320/subdr116-water-reform-2020.pdf","pdf",""
"DR117","Greywater and Wastewater Industry Group (GWIG)","https://www.pc.gov.au/__data/assets/pdf_file/0019/273322/subdr117-water-reform-2020.pdf","pdf",""
"DR118","Trevor Thompson","https://www.pc.gov.au/__data/assets/pdf_file/0011/273764/subdr118-water-reform-2020.pdf","pdf",""
"DR119","Association of Mining and Exploration Companies (AMEC)","https://www.pc.gov.au/__data/assets/pdf_file/0010/273934/subdr119-water-reform-2020.pdf","pdf",""
"DR120","Institute for Water Futures; Australian National University","https://www.pc.gov.au/__data/assets/pdf_file/0011/273935/subdr120-water-reform-2020.pdf","pdf",""
"DR121","Dr Michael Vardon","https://www.pc.gov.au/__data/assets/pdf_file/0005/273938/subdr121-water-reform-2020.pdf","pdf",""
"DR122","Dr Richard Koerner","https://www.pc.gov.au/__data/assets/pdf_file/0020/274520/subdr122-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0003/274521/subdr122-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0004/274522/subdr122-water-reform-2020-attachmentb.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0005/274523/subdr122-water-reform-2020-attachmentc.pdf"
"DR123","Sustainable Population Australia (SPA)","https://www.pc.gov.au/__data/assets/pdf_file/0010/273970/subdr123-water-reform-2020.pdf","pdf",""
"DR124","OneWater Advocates (OWA)","https://www.pc.gov.au/__data/assets/pdf_file/0003/273972/subdr124-water-reform-2020.pdf","pdf",""
"DR125","National Health and Medical Research Council (NHMRC)","https://www.pc.gov.au/__data/assets/pdf_file/0010/273988/subdr125-water-reform-2020.pdf","pdf",""
"DR126","Prof David Shearman","https://www.pc.gov.au/__data/assets/pdf_file/0011/273989/subdr126-water-reform-2020.pdf","pdf",""
"DR127","Australian Petroleum Production and Exploration Association (APPEA)","https://www.pc.gov.au/__data/assets/pdf_file/0017/274040/subdr127-water-reform-2020.pdf","pdf",""
"DR128","eWater Limited","https://www.pc.gov.au/__data/assets/pdf_file/0018/274041/subdr128-water-reform-2020.pdf","pdf",""
"DR129","Tabitha Karp and Celia Karp","https://www.pc.gov.au/__data/assets/pdf_file/0010/275167/subdr129-water-reform-2020.pdf","pdf",""
"DR130","John Kell","https://www.pc.gov.au/__data/assets/pdf_file/0003/274080/subdr130-water-reform-2020.pdf","pdf",""
"DR131","Central Land Council (CLC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/274161/subdr131-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/274163/subdr131-water-reform-2020-attachment.pdf"
"DR132","Peter Addison","https://www.pc.gov.au/__data/assets/pdf_file/0008/274094/subdr132-water-reform-2020.pdf","pdf",""
"DR133","Lifeblood Alliance (LBA)","https://www.pc.gov.au/__data/assets/pdf_file/0010/274087/subdr133-water-reform-2020.pdf","pdf",""
"DR134","Northern Land Council (NLC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/274089/subdr134-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/274091/subdr134-water-reform-2020-letter.pdf"
"DR135","Jonathon Howard","https://www.pc.gov.au/__data/assets/pdf_file/0003/274548/subdr135-water-reform-2020.pdf","pdf",""
"DR136","Inland Rivers Network (IRN)","https://www.pc.gov.au/__data/assets/pdf_file/0006/274182/subdr136-water-reform-2020.pdf","pdf",""
"DR137","Infrastructure Partnerships Australia","https://www.pc.gov.au/__data/assets/pdf_file/0006/274164/subdr137-water-reform-2020.pdf","pdf",""
"DR138","NSW Government","https://www.pc.gov.au/__data/assets/pdf_file/0005/274550/subdr138-water-reform-2020.pdf","pdf",""
"DR139","WWF-Australia","https://www.pc.gov.au/__data/assets/pdf_file/0006/274551/subdr139-water-reform-2020.pdf","pdf",""
"DR140","Water for Indi","https://www.pc.gov.au/__data/assets/pdf_file/0016/275011/subdr140-water-reform-2020.pdf","pdf",""
"DR141","Engineers Australia","https://www.pc.gov.au/__data/assets/pdf_file/0008/274553/subdr141-water-reform-2020.pdf","pdf",""
"DR142","Queensland Water Directorate (qldwater)","https://www.pc.gov.au/__data/assets/pdf_file/0009/274554/subdr142-water-reform-2020.pdf","pdf",""
"DR143","AgForce Queensland Farmers Limited","https://www.pc.gov.au/__data/assets/pdf_file/0011/274556/subdr143-water-reform-2020.pdf","pdf",""
"DR144","Australian Academy of Technology and Engineering (ATSE)","https://www.pc.gov.au/__data/assets/pdf_file/0003/274557/subdr144-water-reform-2020.pdf","pdf",""
"DR145","Queensland Resources Council (QRC)","https://www.pc.gov.au/__data/assets/pdf_file/0004/274558/subdr145-water-reform-2020.pdf","pdf",""
"DR146","Michael Smit and Adam Jones","https://www.pc.gov.au/__data/assets/pdf_file/0005/274559/subdr146-water-reform-2020.pdf","pdf",""
"DR147","Local Government NSW (LGNSW)","https://www.pc.gov.au/__data/assets/pdf_file/0006/274560/subdr147-water-reform-2020.pdf","pdf",""
"DR148","Barwon-Darling Water (BDW); and Darling River Food and Fibre","https://www.pc.gov.au/__data/assets/pdf_file/0007/274561/subdr148-water-reform-2020.pdf","pdf",""
"DR149","CSIRO","https://www.pc.gov.au/__data/assets/pdf_file/0009/274563/subdr149-water-reform-2020.pdf","pdf",""
"DR150","Mackay Conservation Group","https://www.pc.gov.au/__data/assets/pdf_file/0011/274565/subdr150-water-reform-2020.pdf","pdf",""
"DR151","Prosper Australia","https://www.pc.gov.au/__data/assets/pdf_file/0004/274567/subdr151-water-reform-2020.pdf","pdf",""
"DR152","Wentworth Group of Concerned Scientists","https://www.pc.gov.au/__data/assets/pdf_file/0005/274568/subdr152-water-reform-2020.pdf","pdf",""
"DR153","Fiona MacDonald; Environmental Equity","https://www.pc.gov.au/__data/assets/pdf_file/0007/274570/subdr153-water-reform-2020.pdf","pdf",""
"DR154","Alan Rothacker","https://www.pc.gov.au/__data/assets/pdf_file/0008/274571/subdr154-water-reform-2020.pdf","pdf",""
"DR155","NPF Industry Pty Ltd (NPFI)","https://www.pc.gov.au/__data/assets/pdf_file/0009/274572/subdr155-water-reform-2020.pdf","pdf",""
"DR156","Public Interest Advocacy Centre (PIAC)","https://www.pc.gov.au/__data/assets/pdf_file/0010/274573/subdr156-water-reform-2020.pdf","pdf",""
"DR157","North Queensland Conservation Council (NQCC)","https://www.pc.gov.au/__data/assets/pdf_file/0011/274574/subdr157-water-reform-2020.pdf","pdf",""
"DR158","NSW Irrigators’ Council (NSWIC)","https://www.pc.gov.au/__data/assets/pdf_file/0004/274576/subdr158-water-reform-2020.pdf","pdf",""
"DR159","Far North Queensland Regional Organisation of Councils (FNQROC)","https://www.pc.gov.au/__data/assets/pdf_file/0005/274577/subdr159-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0006/274578/subdr159-water-reform-2020-attachment.pdf"
"DR160","Environment Centre NT (ECNT) and the Arid Lands Environment Centre (ALEC)","https://www.pc.gov.au/__data/assets/pdf_file/0007/274579/subdr160-water-reform-2020.pdf","pdf",""
"DR161","Queensland Farmers’ Federation (QFF)","https://www.pc.gov.au/__data/assets/pdf_file/0006/274587/subdr161-water-reform-2020.pdf","pdf",""
"DR162","Unitywater","https://www.pc.gov.au/__data/assets/pdf_file/0007/274588/subdr162-water-reform-2020.pdf","pdf",""
"DR163","Stormwater Shepherds ","https://www.pc.gov.au/__data/assets/pdf_file/0008/274589/subdr163-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0010/274591/subdr163-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/word_doc/0011/274592/subdr163-water-reform-2020-attachmenta.docx|https://www.pc.gov.au/__data/assets/pdf_file/0003/274593/subdr163-water-reform-2020-attachmentb.pdf|https://www.pc.gov.au/__data/assets/word_doc/0004/274594/subdr163-water-reform-2020-attachmentb.docx|https://www.pc.gov.au/__data/assets/pdf_file/0005/274595/subdr163-water-reform-2020-attachmentc.pdf|https://www.pc.gov.au/__data/assets/word_doc/0006/274596/subdr163-water-reform-2020-attachmentc.docx"
"DR164","Central NSW Joint Organisation (CNSWJO)","https://www.pc.gov.au/__data/assets/pdf_file/0007/274597/subdr164-water-reform-2020.pdf","pdf",""
"DR165","Anne Reeves","https://www.pc.gov.au/__data/assets/pdf_file/0008/274598/subdr165-water-reform-2020.pdf","pdf",""
"DR166","Urban Utilities","https://www.pc.gov.au/__data/assets/pdf_file/0019/274600/subdr166-water-reform-2020.pdf","pdf",""
"DR167","CANEGROWERS","https://www.pc.gov.au/__data/assets/pdf_file/0020/274601/subdr167-water-reform-2020.pdf","pdf",""
"DR168","Independent Pricing and Regulatory Tribunal (IPART) NSW ","https://www.pc.gov.au/__data/assets/pdf_file/0003/274602/subdr168-water-reform-2020.pdf","pdf",""
"DR169","Stormwater NSW","https://www.pc.gov.au/__data/assets/pdf_file/0004/274603/subdr169-water-reform-2020.pdf","pdf",""
"DR170","Business Council for Sustainable Development Australia (BCSD Australia)","https://www.pc.gov.au/__data/assets/pdf_file/0005/274604/subdr170-water-reform-2020.pdf","pdf",""
"DR171","Bob Newman; Healthy Rivers Ambassador (SA)","https://www.pc.gov.au/__data/assets/pdf_file/0003/274629/subdr171-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/274631/subdr171-water-reform-2020-attachment.pdf"
"DR172","Friends of Latrobe Water","https://www.pc.gov.au/__data/assets/pdf_file/0006/274632/subdr172-water-reform-2020.pdf","pdf",""
"DR173","Hayley Talbot","https://www.pc.gov.au/__data/assets/pdf_file/0008/274634/subdr173-water-reform-2020.pdf","pdf",""
"DR174","National Irrigators’ Council (NIC)","https://www.pc.gov.au/__data/assets/pdf_file/0010/274636/subdr174-water-reform-2020.pdf","pdf",""
"DR175","Leeton Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0011/274637/subdr175-water-reform-2020.pdf","pdf",""
"DR176","South Australian Council of Social Service (SACOSS)","https://www.pc.gov.au/__data/assets/pdf_file/0009/274680/subdr176-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0007/275920/subdr176-water-reform-2020-attachment.pdf"
"DR177","Sydney Water","https://www.pc.gov.au/__data/assets/pdf_file/0006/274686/subdr177-water-reform-2020.pdf","pdf",""
"DR178","National Farmers’ Federation (NFF)","https://www.pc.gov.au/__data/assets/pdf_file/0007/274687/subdr178-water-reform-2020.pdf","pdf",""
"DR179","National Water Grid Authority (NWGA)","https://www.pc.gov.au/__data/assets/pdf_file/0008/274688/subdr179-water-reform-2020.pdf","pdf",""
"DR180","BHP","https://www.pc.gov.au/__data/assets/pdf_file/0010/274690/subdr180-water-reform-2020.pdf","pdf",""
"DR181","SunRice and Ricegrowers’ Association of Australia (RGA)","https://www.pc.gov.au/__data/assets/pdf_file/0006/274974/subdr181-water-reform-2020.pdf","pdf",""
"DR182","Murray Darling Association (MDA)","https://www.pc.gov.au/__data/assets/pdf_file/0003/274962/subdr182-water-reform-2020.pdf","pdf",""
"DR183","Local Government Association of Queensland (LGAQ)","https://www.pc.gov.au/__data/assets/pdf_file/0004/274963/subdr183-water-reform-2020.pdf","pdf",""
"DR184","Hunter Lakes Corporation","https://www.pc.gov.au/__data/assets/pdf_file/0009/274842/subdr184-water-reform-2020.pdf","pdf",""
"DR185","Murray Lower Darling Rivers Indigenous Nations (MLDRIN)","https://www.pc.gov.au/__data/assets/pdf_file/0009/274968/subdr185-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0011/274970/subdr185-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0010/274969/subdr185-water-reform-2020-attachmentb.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0003/274971/subdr185-water-reform-2020-attachmentc.pdf"
"DR186","Murray-Darling Basin Authority (MDBA)","https://www.pc.gov.au/__data/assets/pdf_file/0005/274973/subdr186-water-reform-2020.pdf","pdf",""
"DR187","Water Services Association of Australia (WSAA)","https://www.pc.gov.au/__data/assets/pdf_file/0007/274975/subdr187-water-reform-2020.pdf","pdf",""
"DR188","Victorian Government","https://www.pc.gov.au/__data/assets/pdf_file/0007/275047/subdr188-water-reform-2020.pdf","pdf",""
"DR189","Environmental Defenders Office (EDO)","https://www.pc.gov.au/__data/assets/pdf_file/0009/275049/subdr189-water-reform-2020.pdf","pdf",""
"DR190","Melbourne Water","https://www.pc.gov.au/__data/assets/pdf_file/0005/275126/subdr190-water-reform-2020.pdf","pdf",""
"DR191","Victorian Water Industry Association (VicWater)","https://www.pc.gov.au/__data/assets/pdf_file/0010/275158/subdr191-water-reform-2020.pdf","pdf",""
"DR192","Victorian Farmers Federation (VFF)","https://www.pc.gov.au/__data/assets/pdf_file/0011/275159/subdr192-water-reform-2020.pdf","pdf",""
"DR193","Minerals Council of Australia (MCA)","https://www.pc.gov.au/__data/assets/pdf_file/0004/275170/subdr193-water-reform-2020.pdf","pdf",""
"DR194","NSW Aboriginal Land Council (NSWALC)","https://www.pc.gov.au/__data/assets/pdf_file/0007/275191/subdr194-water-reform-2020.pdf","pdf",""
